Carrier_Airline,Tail_Number,Origin,Dest,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
OH,N544EA,SAV,DCA,2022-03-04 19:46:00,104.0,9.0,North-South
OH,N509AE,SAV,DCA,2022-03-05 14:13:00,106.0,-23.0,North-South
OH,N706PS,SAV,DCA,2022-03-07 19:46:00,104.0,56.0,North-South
OH,N706PS,SAV,DCA,2022-03-08 19:46:00,104.0,-8.0,North-South
OH,N533AE,SAV,DCA,2022-03-09 19:46:00,104.0,13.0,North-South
OH,N534AE,SAV,DCA,2022-03-10 19:46:00,104.0,51.0,North-South
OH,N543EA,SAV,DCA,2022-03-11 19:46:00,104.0,-4.0,North-South
OH,N528EG,SAV,DCA,2022-03-13 19:50:00,104.0,9.0,North-South
OH,N709PS,SAV,DCA,2022-03-14 19:46:00,104.0,46.0,North-South
OH,N719PS,SAV,DCA,2022-03-15 19:46:00,104.0,5.0,North-South
OH,N509AE,SAV,DCA,2022-03-16 19:46:00,104.0,-12.0,North-South
OH,N509AE,SAV,DCA,2022-03-17 19:46:00,104.0,29.0,North-South
OH,N517AE,SAV,DCA,2022-03-18 19:46:00,104.0,77.0,North-South
OH,N537EA,SAV,DCA,2022-03-19 14:13:00,106.0,279.0,North-South
OH,N527EA,SAV,DCA,2022-03-20 19:50:00,104.0,43.0,North-South
OH,N544EA,SAV,DCA,2022-03-21 19:46:00,104.0,50.0,North-South
OH,N540EG,SAV,DCA,2022-03-22 19:46:00,104.0,10.0,North-South
OH,N512AE,SAV,DCA,2022-03-23 19:46:00,104.0,51.0,North-South
OH,N723PS,SAV,DCA,2022-03-24 19:46:00,104.0,0.0,North-South
OH,N506AE,SAV,DCA,2022-03-25 19:46:00,104.0,-23.0,North-South
OH,N541EA,SAV,DCA,2022-03-26 14:13:00,106.0,-28.0,North-South
OH,N503AE,SAV,DCA,2022-03-27 19:50:00,104.0,-17.0,North-South
OH,N534AE,SAV,DCA,2022-03-28 19:46:00,104.0,5.0,North-South
OH,N535EA,SAV,DCA,2022-03-29 19:46:00,104.0,-21.0,North-South
OH,N514AE,SAV,DCA,2022-03-30 19:46:00,104.0,46.0,North-South
OH,N557NN,CMH,PHL,2022-03-01 12:34:00,93.0,-31.0,East-West
OH,N559NN,CMH,PHL,2022-03-02 12:34:00,93.0,-21.0,East-West
OH,N573NN,CMH,PHL,2022-03-03 12:06:00,84.0,-23.0,East-West
OH,N555NN,CMH,PHL,2022-03-04 12:06:00,84.0,-9.0,East-West
OH,N505AE,CMH,PHL,2022-03-05 11:59:00,89.0,-27.0,East-West
OH,N568NN,CMH,PHL,2022-03-07 12:06:00,84.0,-5.0,East-West
OH,N607NN,CMH,PHL,2022-03-10 12:06:00,84.0,-17.0,East-West
OH,N549NN,CMH,PHL,2022-03-11 12:06:00,84.0,0.0,East-West
OH,N527EA,CMH,PHL,2022-03-12 11:59:00,89.0,-17.0,East-West
OH,N614NN,CMH,PHL,2022-03-14 12:06:00,84.0,0.0,East-West
OH,N578NN,CMH,PHL,2022-03-17 12:06:00,84.0,3.0,East-West
OH,N509AE,CMH,PHL,2022-03-19 11:59:00,89.0,-16.0,East-West
OH,N562NN,CMH,PHL,2022-03-21 12:06:00,84.0,-10.0,East-West
OH,N564NN,CMH,PHL,2022-03-24 12:06:00,84.0,27.0,East-West
OH,N586NN,CMH,PHL,2022-03-25 12:06:00,84.0,25.0,East-West
OH,N586NN,CMH,PHL,2022-03-26 11:59:00,89.0,-5.0,East-West
OH,N605NN,CMH,PHL,2022-03-28 12:06:00,84.0,-18.0,East-West
OH,N574NN,CMH,PHL,2022-03-31 12:06:00,84.0,-19.0,East-West
OH,N557NN,PHL,CMH,2022-03-01 09:50:00,118.0,-3.0,East-West
OH,N559NN,PHL,CMH,2022-03-02 09:50:00,118.0,-21.0,East-West
OH,N573NN,PHL,CMH,2022-03-03 09:40:00,114.0,-14.0,East-West
OH,N555NN,PHL,CMH,2022-03-04 09:40:00,114.0,-19.0,East-West
OH,N505AE,PHL,CMH,2022-03-05 09:35:00,114.0,-13.0,East-West
OH,N568NN,PHL,CMH,2022-03-07 09:40:00,114.0,-21.0,East-West
OH,N607NN,PHL,CMH,2022-03-10 09:40:00,114.0,-33.0,East-West
OH,N549NN,PHL,CMH,2022-03-11 09:40:00,114.0,1.0,East-West
OH,N527EA,PHL,CMH,2022-03-12 09:35:00,114.0,-20.0,East-West
OH,N614NN,PHL,CMH,2022-03-14 09:40:00,114.0,6.0,East-West
OH,N578NN,PHL,CMH,2022-03-17 09:40:00,114.0,-7.0,East-West
OH,N509AE,PHL,CMH,2022-03-19 09:35:00,114.0,-11.0,East-West
OH,N562NN,PHL,CMH,2022-03-21 09:40:00,114.0,-24.0,East-West
OH,N564NN,PHL,CMH,2022-03-24 09:40:00,114.0,21.0,East-West
OH,N586NN,PHL,CMH,2022-03-25 09:40:00,114.0,14.0,East-West
OH,N586NN,PHL,CMH,2022-03-26 09:35:00,114.0,-12.0,East-West
OH,N605NN,PHL,CMH,2022-03-28 09:40:00,114.0,-16.0,East-West
OH,N574NN,PHL,CMH,2022-03-31 09:40:00,114.0,-25.0,East-West
OH,N587NN,CMH,CLT,2022-03-01 10:04:00,105.0,-37.0,North-South
OH,N712PS,CMH,CLT,2022-03-02 09:05:00,108.0,-21.0,North-South
OH,N608NN,CMH,CLT,2022-03-03 10:38:00,92.0,-1.0,North-South
OH,N575NN,CMH,CLT,2022-03-04 10:04:00,99.0,-18.0,North-South
OH,N562NN,CMH,CLT,2022-03-05 10:04:00,99.0,-32.0,North-South
OH,N569NN,CMH,CLT,2022-03-07 10:04:00,99.0,-12.0,North-South
OH,N592NN,CMH,CLT,2022-03-10 10:38:00,92.0,87.0,North-South
OH,N566NN,CMH,CLT,2022-03-11 10:04:00,99.0,-10.0,North-South
OH,N596NN,CMH,CLT,2022-03-12 10:04:00,99.0,107.0,North-South
OH,N598NN,CMH,CLT,2022-03-17 10:38:00,92.0,-12.0,North-South
OH,N608NN,CMH,CLT,2022-03-19 10:04:00,99.0,-12.0,North-South
OH,N561NN,CMH,CLT,2022-03-20 10:04:00,99.0,-12.0,North-South
OH,N558NN,CMH,CLT,2022-03-21 10:04:00,99.0,-25.0,North-South
OH,N596NN,CMH,CLT,2022-03-24 10:38:00,92.0,-7.0,North-South
OH,N557NN,CMH,CLT,2022-03-25 10:04:00,99.0,-7.0,North-South
OH,N606NN,CMH,CLT,2022-03-26 10:04:00,99.0,-28.0,North-South
OH,N553NN,CMH,CLT,2022-03-27 10:04:00,99.0,-8.0,North-South
OH,N580NN,CMH,CLT,2022-03-28 10:04:00,99.0,-7.0,North-South
OH,N612NN,CMH,CLT,2022-03-31 10:38:00,92.0,4.0,North-South
