Carrier_Airline,Tail_Number,Origin,Dest,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
OH,N578NN,MYR,CLT,2022-03-31 14:30:00,69.0,33.0,East-West
OH,N579NN,BHM,DCA,2022-03-31 09:56:00,123.0,-8.0,East-West
OH,N580NN,CLT,CVG,2022-03-31 20:09:00,89.0,-5.0,North-South
OH,N581NN,ALB,CLT,2022-03-31 17:19:00,133.0,9.0,North-South
OH,N582NN,BHM,CLT,2022-03-29 07:50:00,100.0,-17.0,East-West
OH,N583NN,OMA,CLT,2022-03-31 06:03:00,163.0,43.0,East-West
OH,N584NN,MDT,CLT,2022-03-31 20:01:00,100.0,94.0,North-South
OH,N585NN,GSP,CLT,2022-03-31 18:15:00,63.0,14.0,East-West
OH,N586NN,MHT,DCA,2022-03-31 06:08:00,111.0,-8.0,East-West
OH,N587NN,CLT,BTV,2022-03-31 20:22:00,140.0,-13.0,North-South
OH,N588NN,CLT,ROC,2022-03-31 20:46:00,123.0,-19.0,North-South
OH,N589NN,VPS,CLT,2022-03-30 14:30:00,107.0,9.0,East-West
OH,N590NN,PHL,CLE,2022-03-31 22:08:00,93.0,44.0,East-West
OH,N591NN,DAB,CLT,2022-03-31 12:03:00,107.0,6.0,North-South
OH,N592NN,PHL,DCA,2022-03-31 19:50:00,70.0,184.0,East-West
OH,N593NN,GSP,CLT,2022-03-31 12:41:00,71.0,-20.0,East-West
OH,N594NN,DCA,MHT,2022-03-30 22:10:00,93.0,-13.0,East-West
OH,N595NN,PHL,DCA,2022-03-29 19:50:00,70.0,77.0,East-West
OH,N596NN,CLT,FAY,2022-03-31 22:51:00,68.0,-35.0,East-West
OH,N597NN,DCA,RDU,2022-03-30 20:00:00,74.0,47.0,North-South
OH,N598NN,PHL,STL,2022-03-31 13:41:00,155.0,-13.0,East-West
OH,N599NN,DCA,RDU,2022-03-31 20:00:00,74.0,49.0,North-South
OH,N600NN,STL,PHL,2022-03-31 05:34:00,126.0,-15.0,East-West
OH,N601EN,GSP,CLT,2022-03-27 18:15:00,63.0,-13.0,East-West
OH,N602NN,PNS,DCA,2022-03-31 13:26:00,134.0,25.0,East-West
OH,N603NN,CLT,FAY,2022-03-30 18:20:00,64.0,-19.0,East-West
OH,N604NN,MHT,CLT,2022-03-31 14:20:00,157.0,-3.0,East-West
OH,N605NN,SDF,CLT,2022-03-31 15:33:00,95.0,10.0,East-West
OH,N606NN,CLT,CAE,2022-03-31 19:05:00,52.0,-12.0,North-South
OH,N607NN,CLT,TYS,2022-03-31 20:20:00,70.0,11.0,East-West
OH,N608NN,VPS,CLT,2022-03-31 14:30:00,107.0,-1.0,East-West
OH,N609NN,PHL,CVG,2022-03-31 19:45:00,118.0,174.0,East-West
OH,N610NN,CLT,GSP,2022-03-31 20:10:00,50.0,10.0,East-West
OH,N611NN,DTW,PHL,2022-03-31 06:00:00,104.0,4.0,East-West
OH,N612NN,TLH,CLT,2022-03-31 20:09:00,96.0,62.0,North-South
OH,N613NN,JAX,PHL,2022-03-31 15:22:00,130.0,9.0,North-South
OH,N614NN,JAX,PHL,2022-03-26 15:22:00,130.0,7.0,North-South
OH,N615NN,EWN,CLT,2022-03-30 14:17:00,82.0,-12.0,East-West
OH,N702PS,DCA,HPN,2022-03-15 20:15:00,90.0,8.0,East-West
OH,N703PS,CAE,DCA,2022-03-31 19:29:00,91.0,113.0,North-South
