Year,Month,DayofMonth,DayOfWeek,FlightDate,Carrier_Airline,Tail_Number,Origin,Dest,CRSDepTime,DepTime,DepDelay,CRSArrTime,ArrTime,ArrDelay,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,Distance,CRSDepTimeHour,CRSDepTimeMinute,CRSArrTimeHour,CRSArrTimeMinute,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
2022,3,30,3,2022-03-30,OH,N524AE,PHL,CVG,1735,1732.0,-3.0,1929,1928.0,-1.0,0.0,0.0,114.0,116.0,507.0,17,35,19,29,2022-03-30 17:35:00,114.0,-1.0,Unknown
2022,3,23,3,2022-03-23,OH,N525AE,GSO,DCA,0639,628.0,-11.0,0753,750.0,-3.0,0.0,0.0,74.0,82.0,248.0,6,39,7,53,2022-03-23 06:39:00,74.0,-3.0,Unknown
2022,3,24,4,2022-03-24,OH,N526EA,DCA,HSV,2108,2220.0,72.0,2211,2340.0,89.0,0.0,0.0,123.0,140.0,613.0,21,8,22,11,2022-03-24 21:08:00,123.0,89.0,Unknown
2022,3,21,1,2022-03-21,OH,N527EA,CLT,SBN,2019,2014.0,-5.0,2217,2227.0,10.0,0.0,0.0,118.0,133.0,534.0,20,19,22,17,2022-03-21 20:19:00,118.0,10.0,Unknown
2022,3,28,1,2022-03-28,OH,N528EG,DCA,BHM,1357,1443.0,46.0,1510,1602.0,52.0,0.0,0.0,133.0,139.0,653.0,13,57,15,10,2022-03-28 13:57:00,133.0,52.0,Unknown
2022,3,22,2,2022-03-22,OH,N529EA,DCA,SYR,1559,1600.0,1.0,1722,1723.0,1.0,0.0,0.0,83.0,83.0,298.0,15,59,17,22,2022-03-22 15:59:00,83.0,1.0,Unknown
2022,3,31,4,2022-03-31,OH,N531EG,CLT,VPS,2220,29.0,129.0,2309,104.0,115.0,0.0,0.0,109.0,95.0,460.0,22,20,23,9,2022-03-31 22:20:00,109.0,115.0,Unknown
2022,3,25,5,2022-03-25,OH,N532EA,BGR,CLT,0615,630.0,15.0,0925,928.0,3.0,0.0,0.0,190.0,178.0,921.0,6,15,9,25,2022-03-25 06:15:00,190.0,3.0,Unknown
2022,3,9,3,2022-03-09,OH,N533AE,SAV,DCA,1946,1958.0,12.0,2130,2143.0,13.0,0.0,0.0,104.0,105.0,519.0,19,46,21,30,2022-03-09 19:46:00,104.0,13.0,Unknown
2022,3,30,3,2022-03-30,OH,N534AE,LFT,CLT,1508,1826.0,198.0,1822,2208.0,226.0,0.0,0.0,134.0,162.0,729.0,15,8,18,22,2022-03-30 15:08:00,134.0,226.0,Unknown
2022,3,29,2,2022-03-29,OH,N535EA,SAV,DCA,1946,1938.0,-8.0,2130,2109.0,-21.0,0.0,0.0,104.0,91.0,519.0,19,46,21,30,2022-03-29 19:46:00,104.0,-21.0,Unknown
2022,3,24,4,2022-03-24,OH,N536EA,MHT,CLT,1911,1930.0,19.0,2145,2214.0,29.0,0.0,0.0,154.0,164.0,737.0,19,11,21,45,2022-03-24 19:11:00,154.0,29.0,Unknown
2022,3,29,2,2022-03-29,OH,N537EA,HPN,DCA,1529,1520.0,-9.0,1650,1637.0,-13.0,0.0,0.0,81.0,77.0,234.0,15,29,16,50,2022-03-29 15:29:00,81.0,-13.0,Unknown
2022,3,31,4,2022-03-31,OH,N538EG,CLT,CSG,2029,2024.0,-5.0,2157,2156.0,-1.0,0.0,0.0,88.0,92.0,295.0,20,29,21,57,2022-03-31 20:29:00,88.0,-1.0,Unknown
2022,3,29,2,2022-03-29,OH,N539EA,STL,DCA,1445,1447.0,2.0,1749,1742.0,-7.0,0.0,0.0,124.0,115.0,719.0,14,45,17,49,2022-03-29 14:45:00,124.0,-7.0,Unknown
2022,3,31,4,2022-03-31,OH,N540EG,ALB,DCA,1733,1818.0,45.0,1905,1952.0,47.0,0.0,0.0,92.0,94.0,318.0,17,33,19,5,2022-03-31 17:33:00,92.0,47.0,Unknown
2022,3,27,7,2022-03-27,OH,N541EA,CLE,PHL,1618,1611.0,-7.0,1740,1738.0,-2.0,0.0,0.0,82.0,87.0,363.0,16,18,17,40,2022-03-27 16:18:00,82.0,-2.0,Unknown
2022,3,31,4,2022-03-31,OH,N542EA,IAD,CLT,2016,2009.0,-7.0,2148,2229.0,41.0,0.0,0.0,92.0,140.0,322.0,20,16,21,48,2022-03-31 20:16:00,92.0,41.0,Unknown
2022,3,31,4,2022-03-31,OH,N543EA,DCA,SYR,1601,1555.0,-6.0,1721,1719.0,-2.0,0.0,0.0,80.0,84.0,298.0,16,1,17,21,2022-03-31 16:01:00,80.0,-2.0,Unknown
2022,3,31,4,2022-03-31,OH,N544EA,CLT,AEX,1435,1431.0,-4.0,1558,1605.0,7.0,0.0,0.0,143.0,154.0,722.0,14,35,15,58,2022-03-31 14:35:00,143.0,7.0,Unknown
2022,3,30,3,2022-03-30,OH,N545PB,CRW,CLT,1438,1442.0,4.0,1553,1553.0,0.0,0.0,0.0,75.0,71.0,221.0,14,38,15,53,2022-03-30 14:38:00,75.0,0.0,Unknown
2022,3,30,3,2022-03-30,OH,N546FF,DCA,BHM,1357,1347.0,-10.0,1510,1502.0,-8.0,0.0,0.0,133.0,135.0,653.0,13,57,15,10,2022-03-30 13:57:00,133.0,-8.0,Unknown
2022,3,31,4,2022-03-31,OH,N547NN,DCA,JAX,0840,1039.0,119.0,1051,1310.0,139.0,0.0,0.0,131.0,151.0,634.0,8,40,10,51,2022-03-31 08:40:00,131.0,139.0,Unknown
2022,3,29,2,2022-03-29,OH,N548NN,CID,CLT,0640,629.0,-11.0,1013,948.0,-25.0,0.0,0.0,153.0,139.0,742.0,6,40,10,13,2022-03-29 06:40:00,153.0,-25.0,Unknown
2022,3,31,4,2022-03-31,OH,N549NN,BHM,CLT,0913,926.0,13.0,1151,1203.0,12.0,0.0,0.0,98.0,97.0,350.0,9,13,11,51,2022-03-31 09:13:00,98.0,12.0,Unknown
2022,3,29,2,2022-03-29,OH,N551NN,IAD,CLT,1101,1058.0,-3.0,1230,1214.0,-16.0,0.0,0.0,89.0,76.0,322.0,11,1,12,30,2022-03-29 11:01:00,89.0,-16.0,Unknown
